115,305,487,20,264,295,736,52,373,297,758,441,397,979,760,75
305,420,377,363,708,805,852,156,339,453,968,703,195,427,263,379
487,377,542,568,218,914,832,514,2,884,887,651,994,680,49,973
20,363,568,440,476,745,169,840,454,974,44,962,314,849,930,369
264,708,218,476,44,357,632,776,251,200,994,517,384,508,520,621
295,805,914,745,357,747,171,967,779,572,293,572,49,38,741,241
736,852,832,169,632,171,844,716,285,806,382,134,88,103,531,445
52,156,514,840,776,967,716,87,307,696,639,301,214,23,162,86
373,339,2,454,251,779,285,307,996,261,609,964,41,182,609,965
297,453,884,974,200,572,806,696,261,583,999,58,176,844,126,461
758,968,887,44,994,293,382,639,609,999,2,508,947,91,963,478
441,703,651,962,517,572,134,301,964,58,508,888,50,137,585,689
397,195,994,314,384,49,88,214,41,176,947,50,791,151,65,953
979,427,680,849,508,38,103,23,182,844,91,137,151,237,413,566
760,263,49,930,520,741,531,162,609,126,963,585,65,413,198,729
75,379,973,369,621,241,445,86,965,461,478,689,953,566,729,607
